Country or Area,Category,Demographic,% of population
Madagascar,Gender,Female,0.501115531921387
Maldives,Gender,Female,0.365584907531738
Mexico,Gender,Female,0.510818748474121
North Macedonia,Gender,Female,0.49978832244873
Mali,Gender,Female,0.499024391174316
Malta,Gender,Female,0.498526725769043
Myanmar,Gender,Female,0.518097991943359
Montenegro,Gender,Female,0.505521736145019
Mongolia,Gender,Female,0.507353515625
Mozambique,Gender,Female,0.514061012268066
Mauritania,Gender,Female,0.49781681060791
Mauritius,Gender,Female,0.50660774230957
Malawi,Gender,Female,0.506844787597656
Malaysia,Gender,Female,0.486164054870605
Namibia,Gender,Female,0.515260238647461
New Caledonia,Gender,Female,0.497364196777344
Niger (the),Gender,Female,0.497238502502441
Nigeria,Gender,Female,0.493209228515625
Nicaragua,Gender,Female,0.507159423828125
Netherlands (the),Gender,Female,0.501767845153809
Norway,Gender,Female,0.494583892822266
Nepal,Gender,Female,0.541870384216309
New Zealand,Gender,Female,0.508492660522461
Oman,Gender,Female,0.340027503967285
Pakistan,Gender,Female,0.485396308898926
Panama,Gender,Female,0.499421539306641
Peru,Gender,Female,0.503254814147949
Philippines (the),Gender,Female,0.497825508117676
Papua New Guinea,Gender,Female,0.489431304931641
Poland,Gender,Female,0.515468215942383
Puerto Rico,Gender,Female,0.526181831359863
"Democratic People's Republic of Korea (the)",Gender,Female,0.510901527404785
Portugal,Gender,Female,0.526902770996094
Paraguay,Gender,Female,0.491854934692383
State of Palestine (the) *,Gender,Female,0.492891578674316
French Polynesia,Gender,Female,0.493560066223145
Qatar,Gender,Female,0.248493614196777
Romania,Gender,Female,0.513771362304687
Russian Federation (the),Gender,Female,0.536502227783203
Rwanda,Gender,Female,0.508390350341797
Saudi Arabia,Gender,Female,0.421744575500488
Sudan (the),Gender,Female,0.500395431518555
Senegal,Gender,Female,0.512015113830566
Singapore,Gender,Female,0.47656795501709
Solomon Islands,Gender,Female,0.491522521972656
Sierra Leone,Gender,Female,0.500909309387207
El Salvador,Gender,Female,0.531864013671875
Somalia,Gender,Female,0.501417121887207
Serbia,Gender,Female,0.510190010070801
South Sudan,Gender,Female,0.499450645446777
Sao Tome and Principe,Gender,Female,0.499568824768066
Suriname,Gender,Female,0.497434501647949
Slovakia,Gender,Female,0.513067245483398
Slovenia,Gender,Female,0.502037582397461
Sweden,Gender,Female,0.499077949523926
Eswatini,Gender,Female,0.508486747741699
Seychelles,Gender,Female,0.487095794677734
Syrian Arab Republic (the),Gender,Female,0.499443664550781
Chad,Gender,Female,0.500776786804199
Togo,Gender,Female,0.50241153717041
Thailand,Gender,Female,0.513380088806152
Tajikistan,Gender,Female,0.496129341125488
Turkmenistan,Gender,Female,0.507674026489258
Timor-Leste,Gender,Female,0.494674758911133
Tonga,Gender,Female,0.499474906921387
Trinidad and Tobago,Gender,Female,0.506286926269531
Tunisia,Gender,Female,0.504108505249023
Turkey,Gender,Female,0.506324577331543
United Republic of Tanzania (the),Gender,Female,0.50026782989502
Uganda,Gender,Female,0.507081413269043
Ukraine,Gender,Female,0.536670341491699
Uruguay,Gender,Female,0.516848602294922
United States of America (the),Gender,Female,0.505182151794434
Uzbekistan,Gender,Female,0.501125869750977
Saint Vincent and the Grenadines,Gender,Female,0.493289604187012
Venezuela (Bolivarian Republic of),Gender,Female,0.50819522857666
United States Virgin Islands,Gender,Female,0.52499927520752
Viet Nam,Gender,Female,0.500729789733887
Vanuatu,Gender,Female,0.493114128112793
Samoa,Gender,Female,0.482369842529297
Yemen,Gender,Female,0.496244850158691
South Africa,Gender,Female,0.50739070892334
Zambia,Gender,Female,0.504839668273926
Zimbabwe,Gender,Female,0.522838935852051
South Sudan,Ethnicity,Fertit,
United Arab Emirates (the),Ethnicity,Filipino,0.061
Guam,Ethnicity,Filipino,0.263
"China, Hong Kong Special Administrative Region",Ethnicity,Filipino,0.025
New Zealand,Ethnicity,Filipino,0.015
Estonia,Ethnicity,Finn,0.006
Finland,Ethnicity,Finnish,
Sweden,Ethnicity,Finnish,0.014
Benin,Ethnicity,Fon and related,0.384
Guatemala,Ethnicity,Foreign,0.002
Malawi,Ethnicity,Foreign,0.003
Chad,Ethnicity,Foreign nationals,0.003
Svalbard and Jan Mayen Islands,Ethnicity,"Foreign population (consists primarily of russians, thais, swedes, filipinos, and ukrainians)",0.389
Cameroon,Ethnicity,Foreign/other ethnic group,0.045
Benin,Ethnicity,Foreigner,0.019
Congo (the),Ethnicity,Foreigner,0.082
Togo,Ethnicity,Foreigners,0.052
Sao Tome and Principe,Ethnicity,Forros (descendants of freed slaves),
Mauritius,Ethnicity,Franco-mauritian,
Andorra,Ethnicity,French,0.045
Belgium,Ethnicity,French,0.024
Saint Barthélemy,Ethnicity,French,
Canada,Ethnicity,French,0.136
Switzerland,Ethnicity,French,0.021
Luxembourg,Ethnicity,French,0.076
Monaco,Ethnicity,French,0.199
Madagascar,Ethnicity,French,
Mali,Ethnicity,From members of economic community of west africa,0.004
Burkina Faso,Ethnicity,Fulani,0.084
Guinea-Bissau,Ethnicity,Fulani,0.3
Nigeria,Ethnicity,Fulani,0.06
Guinea,Ethnicity,Fulani (peuhl),0.334
Mali,Ethnicity,Fulani (peuhl),0.133
Niger (the),Ethnicity,Fulani (peuhl),0.065
Benin,Ethnicity,Fulani and related,0.086
Chad,Ethnicity,Fulani/fulbe/bodore,0.018
Gambia (the),Ethnicity,Fulani/tukulur/lorobo,0.182
Sierra Leone,Ethnicity,Fullah,0.038
Sudan (the),Ethnicity,Fur,
New Caledonia,Ethnicity,Futunian,0.082
Ghana,Ethnicity,Ga-dangme,0.071
Gabon,Ethnicity,"Gabonese-born (includes fang, shira-punu/vili, nzabi-duma, mbede-teke, myene, kota-kele, okande-tsogo, pygmy .3%, other)",0.801
Chad,Ethnicity,Gabri/kabalaye/nanchere/somrai,0.02
Republic of Moldova (the),Ethnicity,Gagauz,0.046
Belize,Ethnicity,Garifuna,0.061
Guatemala,Ethnicity,"Garifuna (mixed west and central african, island carib, and arawak)",0.001
Liberia,Ethnicity,Gbandi,0.03
Georgia,Ethnicity,Georgian,0.868
Australia,Ethnicity,German,0.045
Austria,Ethnicity,German,0.026
Canada,Ethnicity,German,0.096
Switzerland,Ethnicity,German,0.042
Germany,Ethnicity,German,0.863
Hungary,Ethnicity,German,0.019
Kazakhstan,Ethnicity,German,0.01
Liechtenstein,Ethnicity,German,0.045
Luxembourg,Ethnicity,German,0.02
Monaco,Ethnicity,German,0.019
Poland,Ethnicity,German,0.002
Romania,Ethnicity,German,0.002
Venezuela (Bolivarian Republic of),Ethnicity,German,
Gibraltar,Ethnicity,Gibraltarian,0.79
Sudan (the),Ethnicity,Gimir,
Liberia,Ethnicity,Gio,0.08
Liberia,Ethnicity,Gola,0.044
Chad,Ethnicity,Gorane,0.058
Kosovo (UNSCR 1244),Ethnicity,Gorani,0.006
Cameroon,Ethnicity,Grassfields,0.077
Liberia,Ethnicity,Grebo,0.1
Australia,Ethnicity,Greek,0.018
Cyprus,Ethnicity,Greek,0.988
Greece,Ethnicity,Greek,0.916
Greenland,Ethnicity,Greenlandic,0.891
Ghana,Ethnicity,Grusi,0.027
Saint Martin (French Part),Ethnicity,Guadeloupe mestizo (french-east asia),
Ghana,Ethnicity,Guan,0.032
Guernsey,Ethnicity,Guernsey,0.531
Guinea,Ethnicity,Guerze,0.078
Ethiopia,Ethnicity,Guragie,0.026
Burkina Faso,Ethnicity,Gurma,0.07
Ghana,Ethnicity,Gurma,0.064
Niger (the),Ethnicity,Gurma,0.008
Nepal,Ethnicity,Gurung,0.02
Burkina Faso,Ethnicity,Gurunsi,0.046
Sint Maarten (Dutch part),Ethnicity,Guyana,0.05
Sint Maarten (Dutch part),Ethnicity,Haiti,0.078
Aruba,Ethnicity,Haitian,0.015
Curaçao,Ethnicity,Haitian,0.012
China,Ethnicity,Han chinese,0.911
Taiwan,Ethnicity,"Han chinese (including holo, who compose approximately of taiwan&#x27;s population, hakka, and other groups originating in mainland china) more than",0.7
Niger (the),Ethnicity,Hausa,0.531
Nigeria,Ethnicity,Hausa,0.3
Eritrea,Ethnicity,Hedareb/beja,0.02
Namibia,Ethnicity,Herero,0.07
Philippines (the),Ethnicity,Hiligaynon/ilonggo,0.084
Suriname,Ethnicity,Hindustani (also known locally as &quot;east indians&quot;; their ancestors emigrated from northern india in the latter part of the 19th century),0.274
Anguilla,Ethnicity,Hispanic,0.049
Antigua and Barbuda,Ethnicity,Hispanic,0.027
Montserrat,Ethnicity,Hispanic/spanish,0.03
"Lao People's Democratic Republic (the)",Ethnicity,Hmong,0.092
Republic of Korea (the),Ethnicity,Homogeneous,
Maldives,Ethnicity,Homogeneous mixture of sinhalese,
Hungary,Ethnicity,Hungarian,0.856
Romania,Ethnicity,Hungarian,0.061
Serbia,Ethnicity,Hungarian,0.035
Slovakia,Ethnicity,Hungarian,0.078
Ukraine,Ethnicity,Hungarian,0.003
Burundi,Ethnicity,Hutu,
Rwanda,Ethnicity,Hutu,
Kiribati,Ethnicity,I-kiribati,0.9578
Nauru,Ethnicity,I-kiribati,0.02
Kiribati,Ethnicity,I-kiribati/mixed,0.038
Nigeria,Ethnicity,Ibibio,0.018
Iceland,Ethnicity,Icelandic,0.813
Nigeria,Ethnicity,Igbo (ibo),0.152
Nigeria,Ethnicity,Ijaw/izon,0.018
Philippines (the),Ethnicity,Ilocano,0.088
Botswana,Ethnicity,Including kgalagadi and people of european ancestry,0.07
Eswatini,Ethnicity,Including the zulu,
Sint Maarten (Dutch part),Ethnicity,India,0.026
Australia,Ethnicity,Indian,0.028
Madagascar,Ethnicity,Indian,
Myanmar,Ethnicity,Indian,0.02
Malaysia,Ethnicity,Indian,0.062
New Zealand,Ethnicity,Indian,0.047
Singapore,Ethnicity,Indian,0.089
Seychelles,Ethnicity,Indian,
British Virgin Islands,Ethnicity,Indian,0.021
Sri Lanka,Ethnicity,Indian tamil,0.042
South Africa,Ethnicity,Indian/asian,0.026
Bolivia (Plurinational State of),Ethnicity,Indigenous,0.2
Brazil,Ethnicity,Indigenous,0.004
Costa Rica,Ethnicity,Indigenous,0.024
Dominica,Ethnicity,Indigenous,0.038
Uruguay,Ethnicity,Indigenous,0.024
Saint Vincent and the Grenadines,Ethnicity,Indigenous,0.03
Venezuela (Bolivarian Republic of),Ethnicity,Indigenous,
Taiwan,Ethnicity,Indigenous malayo-polynesian peoples,0.023
Bhutan,Ethnicity,Indigenous or migrant tribes,0.15
India,Ethnicity,Indo-aryan,0.72
Fiji,Ethnicity,Indo-fijian,0.375
Mauritius,Ethnicity,Indo-mauritian (compose approximately two thirds of the total population),
France,Ethnicity,Indochinese,
"China, Hong Kong Special Administrative Region",Ethnicity,Indonesian,0.021
New Caledonia,Ethnicity,Indonesian,0.014
Netherlands (the),Ethnicity,Indonesian,0.02
Sudan (the),Ethnicity,Ingessana,
Jordan,Ethnicity,Iraqi,0.014
Sweden,Ethnicity,Iraqi,0.014
Australia,Ethnicity,Irish,0.11
Canada,Ethnicity,Irish,0.134
Ireland,Ethnicity,Irish,0.822
Jersey,Ethnicity,Irish,0.021
Norfolk Island,Ethnicity,Irish,0.052
Ireland,Ethnicity,Irish travelers,0.007
Australia,Ethnicity,Italian,0.046
Belgium,Ethnicity,Italian,0.041
Canada,Ethnicity,Italian,0.046
Switzerland,Ethnicity,Italian,0.032
Liechtenstein,Ethnicity,Italian,0.031
Luxembourg,Ethnicity,Italian,0.037
Monaco,Ethnicity,Italian,0.153
San Marino,Ethnicity,Italian,
Holy See (the) *,Ethnicity,Italian,
Venezuela (Bolivarian Republic of),Ethnicity,Italian,
Italy,Ethnicity,"Italian (includes small clusters of german-, french-, and slovene-italians in the north and albanian-italians and greek-italians in the south)",
Fiji,Ethnicity,Itaukei (predominantly melanesian with a polynesian admixture),0.568
Uganda,Ethnicity,Iteso,0.07
Sint Maarten (Dutch part),Ethnicity,Jamaica,0.066
Guam,Ethnicity,Japanese,0.015
Japan,Ethnicity,Japanese,0.979
Indonesia,Ethnicity,Javanese,0.401
Suriname,Ethnicity,Javanese,0.137
Jersey,Ethnicity,Jersey,0.444
Ukraine,Ethnicity,Jewish,0.002
Israel,Ethnicity,"Jewish (of which israel-born, europe/america/oceania-born, africa-born, asia-born)",0.74
Tunisia,Ethnicity,Jewish and other,0.01
Senegal,Ethnicity,Jola,0.042
Gambia (the),Ethnicity,Jola/karoninka,0.11
Jordan,Ethnicity,Jordanian,0.693
Togo,Ethnicity,Kabye/tem,0.259
Cameroon,Ethnicity,Kako,
South Sudan,Ethnicity,Kakwa,
Botswana,Ethnicity,Kalanga,0.11
Kenya,Ethnicity,Kalenjin,0.134
Kenya,Ethnicity,Kamba,0.098
Nepal,Ethnicity,Kami,0.048
New Caledonia,Ethnicity,Kanak,0.391
Chad,Ethnicity,Kanembu/bornu/buduma,0.098
Niger (the),Ethnicity,Kanuri,0.059
Nigeria,Ethnicity,Kanuri/beriberi,0.024
Zambia,Ethnicity,Kaonde,0.029
Uzbekistan,Ethnicity,Karakalpak,0.022
Myanmar,Ethnicity,Karen,0.07
Chad,Ethnicity,Karo/zime/peve,0.013
"Lao People's Democratic Republic (the)",Ethnicity,Katong,0.022
Namibia,Ethnicity,Kavangos,0.09
Mongolia,Ethnicity,Kazak,0.038
Uzbekistan,Ethnicity,Kazakh,0.025
Kazakhstan,Ethnicity,Kazakh (qazaq),0.68
Ethiopia,Ethnicity,Kefficho,0.012
Mongolia,Ethnicity,Khalkh,0.838
Cambodia,Ethnicity,Khmer,0.954
Viet Nam,Ethnicity,Khmer,0.014
"Lao People's Democratic Republic (the)",Ethnicity,Khmou,0.11
Kenya,Ethnicity,Kikuyu,0.171
Angola,Ethnicity,Kimbundu,0.25
Viet Nam,Ethnicity,Kinh (viet),0.853
Kenya,Ethnicity,Kisii,0.057
Guinea,Ethnicity,Kissi,0.062
Liberia,Ethnicity,Kissi,0.048
Nepal,Ethnicity,Koiri/kushwaha,0.012
Congo (the),Ethnicity,Kongo,0.405
Democratic Republic of the Congo (the),Ethnicity,Kongo (all bantu),
Sierra Leone,Ethnicity,Kono,0.043
Sierra Leone,Ethnicity,Korankoh,0.04
Guam,Ethnicity,Korean,0.022
Japan,Ethnicity,Korean,0.004
Switzerland,Ethnicity,Kosovo,0.011
Micronesia (Federated States of),Ethnicity,Kosraean,0.063
Liberia,Ethnicity,Kpelle,0.203
Liberia,Ethnicity,Krahn,0.04
"Côte d'Ivoire",Ethnicity,Kru,0.085
Liberia,Ethnicity,Kru,0.06
South Sudan,Ethnicity,Kuku,
Eritrea,Ethnicity,Kunama,0.04
Iran (Islamic Republic of),Ethnicity,Kurd,
Syrian Arab Republic (the),Ethnicity,Kurd ~10%,0.1
Turkey,Ethnicity,Kurdish,0.19
Iraq,Ethnicity,Kurdish 15-20%,0.2
Kuwait,Ethnicity,Kuwaiti,0.304
Kyrgyzstan,Ethnicity,Kyrgyz,0.738
Zambia,Ethnicity,Lala,0.031
Zambia,Ethnicity,Lamba,0.021
Uganda,Ethnicity,Langi,0.063
South Sudan,Ethnicity,Lango,
"Lao People's Democratic Republic (the)",Ethnicity,Lao,0.532
British Virgin Islands,Ethnicity,Latino,0.055
Guernsey,Ethnicity,Latvia,0.015
Latvia,Ethnicity,Latvian,0.627
Zambia,Ethnicity,Lenje,0.016
Syrian Arab Republic (the),Ethnicity,Levantine ~10%,0.1
Azerbaijan,Ethnicity,Lezghin,0.02
Liechtenstein,Ethnicity,Liechtensteiner,0.655
Sierra Leone,Ethnicity,Limba,0.088
Nepal,Ethnicity,Limbu,0.015
Lithuania,Ethnicity,Lithuanian,0.846
Latvia,Ethnicity,Lithuanian,0.011
South Sudan,Ethnicity,Lndi,
Burkina Faso,Ethnicity,Lobi,0.024
French Polynesia,Ethnicity,Local french,0.06
Sierra Leone,Ethnicity,Loko,0.02
Malawi,Ethnicity,Lomwe,0.188
Liberia,Ethnicity,Lorma,0.051
Zambia,Ethnicity,Lozi,0.057
Democratic Republic of the Congo (the),Ethnicity,Luba,
"Lao People's Democratic Republic (the)",Ethnicity,Lue,0.02
Uganda,Ethnicity,Lugbara,0.033
Kenya,Ethnicity,Luhya,0.143
Zambia,Ethnicity,Lunda (north western),0.026
Kenya,Ethnicity,Luo,0.107
Iran (Islamic Republic of),Ethnicity,Lur,
Zambia,Ethnicity,Luvale,0.022
Luxembourg,Ethnicity,Luxembourger,0.529
Central African Republic (the),Ethnicity,M&#x27;baka-bantu,0.079
Kenya,Ethnicity,Maasai,0.025
North Macedonia,Ethnicity,Macedonian,0.584
Indonesia,Ethnicity,Madurese,0.03
Nepal,Ethnicity,Magar,0.071
United Republic of Tanzania (the),Ethnicity,Mainland - african (of which are bantu consisting of more than 130 tribes),0.99
Congo (the),Ethnicity,Makaa,0.013
Comoros (the),Ethnicity,Makoa,
"Lao People's Democratic Republic (the)",Ethnicity,Makong,0.025
Brunei Darussalam,Ethnicity,Malay,0.658
Christmas Island,Ethnicity,Malay,0.1
Indonesia,Ethnicity,Malay,0.037
Singapore,Ethnicity,Malay,0.137
Madagascar,Ethnicity,Malayo-indonesian (merina and related betsileo),
Aruba,Gender,Male,0.474327049255371
Afghanistan,Gender,Male,0.513154792785645
Angola,Gender,Male,0.494758644104004
Albania,Gender,Male,0.508970031738281
United Arab Emirates (the),Gender,Male,0.69121057510376
Argentina,Gender,Male,0.487858543395996
Armenia,Gender,Male,0.470346603393555
Antigua and Barbuda,Gender,Male,0.482691383361816
Australia,Gender,Male,0.497987632751465
Austria,Gender,Male,0.492948455810547
Azerbaijan,Gender,Male,0.499514427185059
Burundi,Gender,Male,0.496171264648438
Belgium,Gender,Male,0.495644989013672
Benin,Gender,Male,0.499393653869629
Burkina Faso,Gender,Male,0.499668655395508
Bangladesh,Gender,Male,0.505552368164063
Bulgaria,Gender,Male,0.485593681335449
Bahrain,Gender,Male,0.646735420227051
Bahamas (the),Gender,Male,0.485935096740723
Bosnia and Herzegovina,Gender,Male,0.489698143005371
Belarus,Gender,Male,0.465574951171875
Belize,Gender,Male,0.497360534667969
Bolivia (Plurinational State of),Gender,Male,0.501842231750488
Brazil,Gender,Male,0.491325149536133
Barbados,Gender,Male,0.483987579345703
Brunei Darussalam,Gender,Male,0.518847579956055
Bhutan,Gender,Male,0.531467895507812
Botswana,Gender,Male,0.484388046264648
Central African Republic (the),Gender,Male,0.495685081481934
Canada,Gender,Male,0.496319770812988
Switzerland,Gender,Male,0.496110649108887
Chile,Gender,Male,0.493072090148926
China,Gender,Male,0.512912635803223
"CÃ´te d'Ivoire",Gender,Male,0.504217185974121
Cameroon,Gender,Male,0.500156059265137
Democratic Republic of the Congo (the),Gender,Male,0.499212493896484
Congo (the),Gender,Male,0.49957088470459
Colombia,Gender,Male,0.491021003723145
Comoros (the),Gender,Male,0.504433670043945
Cabo Verde,Gender,Male,0.502019844055176
Costa Rica,Gender,Male,0.499611129760742
Cuba,Gender,Male,0.496482620239258
CuraÃ§ao,Gender,Male,0.459896392822266
Cyprus,Gender,Male,0.499862098693848
Czechia,Gender,Male,0.492345771789551
Germany,Gender,Male,0.494317970275879
Djibouti,Gender,Male,0.525295486450195
Denmark,Gender,Male,0.497109832763672
Dominican Republic (the),Gender,Male,0.499470329284668
Algeria,Gender,Male,0.505205955505371
Ecuador,Gender,Male,0.500130195617676
Egypt,Gender,Male,0.505234413146973
Eritrea,Gender,Male,0.499869155883789
Spain,Gender,Male,0.491464958190918
Estonia,Gender,Male,0.473756141662598
Ethiopia,Gender,Male,0.500304832458496
Finland,Gender,Male,0.493150177001953
Fiji,Gender,Male,0.506465530395508
France,Gender,Male,0.483951225280762
Micronesia (Federated States of),Gender,Male,0.50842887878418
Gabon,Gender,Male,0.508981323242187
United Kingdom of Great Britain and Northern Ireland (the),Gender,Male,0.49409912109375
Georgia,Gender,Male,0.476596527099609
Ghana,Gender,Male,0.506871795654297
Guinea,Gender,Male,0.483768730163574
Gambia (the),Gender,Male,0.495948143005371
Guinea-Bissau,Gender,Male,0.4891748046875
Equatorial Guinea,Gender,Male,0.556228332519531
Greece,Gender,Male,0.490818252563477
Grenada,Gender,Male,0.50361270904541
Guatemala,Gender,Male,0.492706108093262
Guam,Gender,Male,0.504434700012207
Guyana,Gender,Male,0.502885360717773
"China, Hong Kong Special Administrative Region",Gender,Male,0.458806381225586
Honduras,Gender,Male,0.499654312133789
Croatia,Gender,Male,0.482134666442871
Haiti,Gender,Male,0.493438186645508
Hungary,Gender,Male,0.475996017456055
Indonesia,Gender,Male,0.503495330810547
India,Gender,Male,0.519636726379395
Ireland,Gender,Male,0.496445999145508
Iran (Islamic Republic of),Gender,Male,0.504904327392578
Iraq,Gender,Male,0.50612907409668
Iceland,Gender,Male,0.50228572845459
Israel,Gender,Male,0.497729377746582
Italy,Gender,Male,0.48688117980957
Jamaica,Gender,Male,0.496305656433105
Jordan,Gender,Male,0.506312675476074
Japan,Gender,Male,0.488257217407227
Kazakhstan,Gender,Male,0.485332107543945
Kenya,Gender,Male,0.496891975402832
Kyrgyzstan,Gender,Male,0.494662094116211
Cambodia,Gender,Male,0.488213310241699
Kiribati,Gender,Male,0.491803817749023
Republic of Korea (the),Gender,Male,0.50060977935791
Kuwait,Gender,Male,0.612201728820801
"Lao People's Democratic Republic (the)",Gender,Male,0.501926460266113
Lebanon,Gender,Male,0.503373413085938
Liberia,Gender,Male,0.502708854675293
Libya,Gender,Male,0.504816207885742
Saint Lucia,Gender,Male,0.492416763305664
Sri Lanka,Gender,Male,0.479485893249512
Lesotho,Gender,Male,0.493382682800293
Lithuania,Gender,Male,0.462840690612793
Luxembourg,Gender,Male,0.505749435424805
Latvia,Gender,Male,0.460892295837402
"China, Macao Special Administrative Region",Gender,Male,0.480640411376953
Morocco,Gender,Male,0.496250610351562
Republic of Moldova (the),Gender,Male,0.478921852111816
Madagascar,Gender,Male,0.498884468078613
Maldives,Gender,Male,0.634415092468262
Mexico,Gender,Male,0.489181251525879
North Macedonia,Gender,Male,0.500211677551269
Mali,Gender,Male,0.500975608825684
Malta,Gender,Male,0.501473274230957
Myanmar,Gender,Male,0.481902008056641
Montenegro,Gender,Male,0.494478263854981
Mongolia,Gender,Male,0.492646484375
Mozambique,Gender,Male,0.485938987731934
Mauritania,Gender,Male,0.50218318939209
Mauritius,Gender,Male,0.49339225769043
Malawi,Gender,Male,0.493155212402344
Malaysia,Gender,Male,0.513835945129395
Namibia,Gender,Male,0.484739761352539
New Caledonia,Gender,Male,0.502635803222656
Niger (the),Gender,Male,0.502761497497559
Nigeria,Gender,Male,0.506790771484375
Nicaragua,Gender,Male,0.492840576171875
Netherlands (the),Gender,Male,0.498232154846191
Norway,Gender,Male,0.505416107177734
Nepal,Gender,Male,0.458129615783691
New Zealand,Gender,Male,0.491507339477539
Oman,Gender,Male,0.659972496032715
Pakistan,Gender,Male,0.514603691101074
Panama,Gender,Male,0.500578460693359
Peru,Gender,Male,0.496745185852051
Philippines (the),Gender,Male,0.502174491882324
Papua New Guinea,Gender,Male,0.510568695068359
Poland,Gender,Male,0.484531784057617
Puerto Rico,Gender,Male,0.473818168640137
"Democratic People's Republic of Korea (the)",Gender,Male,0.489098472595215
Portugal,Gender,Male,0.473097229003906
Paraguay,Gender,Male,0.508145065307617
State of Palestine (the) *,Gender,Male,0.507108421325684
French Polynesia,Gender,Male,0.506439933776855
Qatar,Gender,Male,0.751506385803223
Romania,Gender,Male,0.486228637695313
Russian Federation (the),Gender,Male,0.463497772216797
Rwanda,Gender,Male,0.491609649658203
Saudi Arabia,Gender,Male,0.578255424499512
Sudan (the),Gender,Male,0.499604568481445
Senegal,Gender,Male,0.487984886169434
Singapore,Gender,Male,0.52343204498291
Solomon Islands,Gender,Male,0.508477478027344
Sierra Leone,Gender,Male,0.499090690612793
El Salvador,Gender,Male,0.468135986328125
Somalia,Gender,Male,0.498582878112793
Serbia,Gender,Male,0.489809989929199
South Sudan,Gender,Male,0.500549354553223
Sao Tome and Principe,Gender,Male,0.500431175231934
Suriname,Gender,Male,0.502565498352051
Slovakia,Gender,Male,0.486932754516602
Slovenia,Gender,Male,0.497962417602539
Sweden,Gender,Male,0.500922050476074
Eswatini,Gender,Male,0.491513252258301
Seychelles,Gender,Male,0.512904205322266
Syrian Arab Republic (the),Gender,Male,0.500556335449219
Chad,Gender,Male,0.499223213195801
Togo,Gender,Male,0.49758846282959
Thailand,Gender,Male,0.486619911193848
Tajikistan,Gender,Male,0.503870658874512
Turkmenistan,Gender,Male,0.492325973510742
Timor-Leste,Gender,Male,0.505325241088867
Tonga,Gender,Male,0.500525093078613
Trinidad and Tobago,Gender,Male,0.493713073730469
Tunisia,Gender,Male,0.495891494750977
Turkey,Gender,Male,0.493675422668457
United Republic of Tanzania (the),Gender,Male,0.49973217010498
Uganda,Gender,Male,0.492918586730957
Ukraine,Gender,Male,0.463329658508301
Uruguay,Gender,Male,0.483151397705078
United States of America (the),Gender,Male,0.494817848205566
Uzbekistan,Gender,Male,0.498874130249023
Saint Vincent and the Grenadines,Gender,Male,0.506710395812988
Venezuela (Bolivarian Republic of),Gender,Male,0.49180477142334
United States Virgin Islands,Gender,Male,0.47500072479248
Viet Nam,Gender,Male,0.499270210266113
Vanuatu,Gender,Male,0.506885871887207
Samoa,Gender,Male,0.517630157470703
Yemen,Gender,Male,0.503755149841309
South Africa,Gender,Male,0.49260929107666
Zambia,Gender,Male,0.495160331726074
Zimbabwe,Gender,Male,0.477161064147949
Gabon,Ethnicity,Malian,0.024
Guinea,Ethnicity,Malinke,0.294
Mali,Ethnicity,Malinke,0.088
Malta,Ethnicity,Maltese (descendants of ancient carthaginians and phoenicians with strong elements of italian and other mediterranean stock),
Zambia,Ethnicity,Mambwe,0.025
South Sudan,Ethnicity,Mandari,
Ghana,Ethnicity,Mande,0.02
Guinea-Bissau,Ethnicity,Mandinga,0.13
Liberia,Ethnicity,Mandingo,0.032
Sierra Leone,Ethnicity,Mandingo,0.028
Senegal,Ethnicity,Mandinka,0.049
Gambia (the),Ethnicity,Mandinka/jahanka,0.333
Central African Republic (the),Ethnicity,Mandjia,0.099
Malawi,Ethnicity,Mang&#x27;anja,0.032
Guinea-Bissau,Ethnicity,Manjaco,0.14
Liberia,Ethnicity,Mano,0.079
New Zealand,Ethnicity,Maori,0.165
Chile,Ethnicity,Mapuche,0.091
Chad,Ethnicity,Marba/lele/mesme,0.035
Suriname,Ethnicity,Maroon (their african ancestors were brought to the country in the 17th and 18th centuries as slaves and escaped to the interior),0.217
Marshall Islands (the),Ethnicity,Marshallese,0.921
Chad,Ethnicity,Masa/musseye/musgum,0.049
Sudan (the),Ethnicity,Masalit,
Belize,Ethnicity,Maya,0.113
Guatemala,Ethnicity,Maya,0.417
Cameroon,Ethnicity,Mbam,0.216
Congo (the),Ethnicity,Mbere/mbeti/kele,0.044
Congo (the),Ethnicity,Mbochi,0.131
Central African Republic (the),Ethnicity,Mbum,0.06
Zambia,Ethnicity,Mbunda,0.012
Equatorial Guinea,Ethnicity,Mdowe,0.036
Cameroon,Ethnicity,Meka/pygmy,0.033
Papua New Guinea,Ethnicity,Melanesian,
Solomon Islands,Ethnicity,Melanesian,0.953
Vanuatu,Ethnicity,Melanesian,0.992
Timor-Leste,Ethnicity,"Melanesian-papuan (includes bunak, fataluku, bakasai)",
Liberia,Ethnicity,Mende,0.013
Sierra Leone,Ethnicity,Mende,0.308
Belize,Ethnicity,Mennonite,0.036
Kenya,Ethnicity,Meru,0.042
Chad,Ethnicity,Mesmedje/massalat/kadjakse,0.008
Sao Tome and Principe,Ethnicity,Mestico,
Angola,Ethnicity,Mestico (mixed european and native african),0.02
Belize,Ethnicity,Mestizo,0.529
Mozambique,Ethnicity,Mestizo,0.008
El Salvador,Ethnicity,Mestizo,0.863
